Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
應付帳款,負債,0202121,TW-LIABILITY,0,Payable,,
其他應付款,負債,0202130,TW-LIABILITY,0,,,
應付費用,負債,0202131,TW-LIABILITY,0,,,
應付稅捐,負債,0202132,TW-LIABILITY,0,,,
應付股利,負債,0202133,TW-LIABILITY,0,,,
銷項稅額,負債,0202134,TW-LIABILITY,0,Tax,,
其他應付款－其他,負債,0202135,TW-LIABILITY,0,,,
預收款項,負債,0202136,TW-LIABILITY,0,,,
預收貨款,負債,0202137,TW-LIABILITY,0,,,
其他預收款,負債,0202138,TW-LIABILITY,0,,,
其他流動負債,負債,0202190,TW-LIABILITY,1,,,
暫收款,負債,0202191,TW-LIABILITY,0,,,
業主（股東）往來,負債,0202192,TW-LIABILITY,0,,,
同業往來,負債,0202193,TW-LIABILITY,0,,,
代收款,負債,0202195,TW-LIABILITY,0,,,
其他流動負債－其他,負債,0202196,TW-LIABILITY,1,,,
非流動負債,負債,0202200,TW-LIABILITY,1,,,
應付公司債,負債,0202210,TW-LIABILITY,0,,,
長期借款,負債,0202220,TW-LIABILITY,0,,,
透過損益按公允價值衡量之金融負債－非流動,負債,0202230,TW-LIABILITY,0,,,
避險之金融負債－非流動,負債,0202240,TW-LIABILITY,0,,,
特別股負債－非流動,負債,0202260,TW-LIABILITY,0,,,
其他金融負債－非流動,負債,0202270,TW-LIABILITY,0,,,
長期應付票據及款項,負債,0202280,TW-LIABILITY,0,,,
合約負債－非流動,負債,0202281,TW-LIABILITY,0,,,
租賃負債,負債,0202282,TW-LIABILITY,0,,,
其他長期負債,負債,0202290,TW-LIABILITY,0,,,
其他非流動負債,負債,0202900,TW-LIABILITY,1,,,
存入保證金,負債,0202910,TW-LIABILITY,0,,,
退休金準備,負債,0202940,TW-LIABILITY,0,,,
國外投資損失準備,負債,0202951,TW-LIABILITY,0,,,
受託承銷品,負債,0202970,TW-LIABILITY,0,,,
其他非流動負債－其他,負債,0202999,TW-LIABILITY,1,,,
權益總額,權益,0203000,TW-EQUITY,1,,,
資本或股本（實收）,權益,0203100,TW-EQUITY,1,,,
股本（登記）,權益,0203110,TW-EQUITY,0,,,
加：預收股款,權益,0203130,TW-EQUITY,0,,,
減：未發行股本,權益,0203120,TW-EQUITY,0,,,
資本公積,權益,0203300,TW-EQUITY,1,,,
保留盈餘,權益,0203400,TW-EQUITY,1,,,
法定盈餘公積,權益,0203410,TW-EQUITY,0,,,
法定盈餘公積（86年度以前餘額),權益,0203411,TW-EQUITY,0,,,
法定盈餘公積（87年度以後餘額),權益,0203412,TW-EQUITY,0,,,
特別盈餘公積,權益,0203420,TW-EQUITY,0,,,
特別盈餘公積（86年度以前餘額),權益,0203421,TW-EQUITY,0,,,
特別盈餘公積（87年度以後餘額),權益,0203422,TW-EQUITY,0,,,
累積盈虧,權益,0203430,TW-EQUITY,0,,,
累積盈虧（86年度以前餘額),權益,0203431,TW-EQUITY,0,,,
累積盈虧（87年度以後餘額),權益,0203432,TW-EQUITY,0,,,
追溯適用及追溯重編之影響數,權益,0203434,TW-EQUITY,0,,,
本期自其他綜合損益或其他權益項目轉入之稅後淨額,權益,0203435,TW-EQUITY,1,,,
本期損益（稅後),權益,0203440,TW-EQUITY,0,,,
減：自本期盈餘分配、撥補虧損及提列法定(特別)盈餘公積之合計金額,權益,0203450,TW-EQUITY,0,,,
其他權益,權益,0203500,TW-EQUITY,1,,,
避險工具之損益,權益,0203502,TW-EQUITY,0,,,
國外營運機構財務報表換算之兌換差額,權益,0203503,TW-EQUITY,0,,,
未實現重估增值,權益,0203504,TW-EQUITY,0,,,
確定福利計畫再衡量數,權益,0203505,TW-EQUITY,0,,,
透過其他綜合損益按公允價值衡量之未實現損益,權益,0203507,TW-EQUITY,0,,,
員工未賺得酬勞,權益,0203508,TW-EQUITY,0,,,
其他權益－其他,權益,0203506,TW-EQUITY,0,,,
減：庫藏股票,權益,0203600,TW-EQUITY,1,,,
負債及權益總額,權益,0209000,TW-EQUITY,1,,,
期初存貨,費用,0300001,TW-EXPENSE,0,,,
本期進貨（淨額）,費用,0300002,TW-EXPENSE,1,,,
期末存貨,費用,0300301,TW-EXPENSE,0,,,
加：其他,費用,0300302,TW-EXPENSE,0,,,
減：其他,費用,0300303,TW-EXPENSE,0,,,
進銷成本,費用,0300009,TW-EXPENSE,1,,,
期初存料,費用,0300010,TW-EXPENSE,0,,,
本期進料（淨額）,費用,0300011,TW-EXPENSE,1,,,
期末存料,費用,0301201,TW-EXPENSE,0,,,
加：其他（         ）,費用,0301202,TW-EXPENSE,0,,,
減：其他（         ）,費用,0301203,TW-EXPENSE,0,,,
直接原料,費用,0300013,TW-EXPENSE,0,,,
期初存料,費用,0300014,TW-EXPENSE,0,,,
本期進料（淨額）,費用,0300015,TW-EXPENSE,1,,,
期末存料,費用,0301601,TW-EXPENSE,0,,,
加：其他（         ）,費用,0301602,TW-EXPENSE,0,,,
減：其他（         ）,費用,0301603,TW-EXPENSE,0,,,
間接材料,費用,0300017,TW-EXPENSE,0,,,
直接人工,費用,0300018,TW-EXPENSE,0,,,
製造費用,費用,0300019,TW-EXPENSE,0,,,
製造成本,費用,0300020,TW-EXPENSE,1,,,
期初在製品存貨,費用,0300021,TW-EXPENSE,0,,,
期末在製品存貨,費用,0302201,TW-EXPENSE,0,,,
加：其他（         ）,費用,0302202,TW-EXPENSE,0,,,
減：其他（         ）,費用,0302203,TW-EXPENSE,0,,,
製成品成本,費用,0300030,TW-EXPENSE,1,,,
期初製成品存貨,費用,0300031,TW-EXPENSE,0,,,
期末製成品存貨,費用,0303201,TW-EXPENSE,0,,,
加：其他（       ）,費用,0303202,TW-EXPENSE,0,,,
減：其他（       ）,費用,0303203,TW-EXPENSE,0,,,
外銷估列應收退稅或已收退稅款,費用,0300033,TW-EXPENSE,0,,,
產銷成本減項,費用,0300040,TW-EXPENSE,1,,,
產銷成本,費用,0300050,TW-EXPENSE,1,,,
勞務成本,費用,0300060,TW-EXPENSE,1,,,
修理成本,費用,0300070,TW-EXPENSE,1,,,
加工成本,費用,0300080,TW-EXPENSE,1,,,
業務成本,費用,0300081,TW-EXPENSE,1,,,
其他營業成本,費用,0300085,TW-EXPENSE,1,,,
營業成本,費用,0300090,TW-EXPENSE,1,Cost of Goods Sold,,
間接人工,費用,04B0001,TW-EXPENSE,0,,,
租金支出,費用,04B0002,TW-EXPENSE,0,,,
文具用品,費用,04B0003,TW-EXPENSE,0,,,
旅費,費用,04B0004,TW-EXPENSE,0,,,
運費,費用,04B0005,TW-EXPENSE,0,,,
郵電費,費用,04B0006,TW-EXPENSE,0,,,
修繕費,費用,04B0007,TW-EXPENSE,0,,,
包裝費,費用,04B0008,TW-EXPENSE,0,,,
水電瓦斯費,費用,04B0009,TW-EXPENSE,0,,,
保險費,費用,04B0010,TW-EXPENSE,0,,,
加工費,費用,04B0011,TW-EXPENSE,0,,,
稅捐,費用,04B0012,TW-EXPENSE,0,,,
折舊,費用,04B0013,TW-EXPENSE,0,,,
各項耗竭及攤提,費用,04B0014,TW-EXPENSE,0,,,
伙食費,費用,04B0015,TW-EXPENSE,0,,,
職工福利,費用,04B0016,TW-EXPENSE,0,,,
其他製造費用,費用,04B0090,TW-EXPENSE,0,,,
耗材費用,費用,05C2901,TW-EXPENSE,0,,,
薪資費用,費用,05C2902,TW-EXPENSE,0,,,
租金支出,費用,05C2903,TW-EXPENSE,0,,,
文具用品,費用,05C2904,TW-EXPENSE,0,,,
旅費,費用,05C2905,TW-EXPENSE,0,,,
運費,費用,05C2906,TW-EXPENSE,0,,,
郵電費,費用,05C2907,TW-EXPENSE,0,,,
修繕費,費用,05C2908,TW-EXPENSE,0,,,
水電瓦斯費,費用,05C2909,TW-EXPENSE,0,,,
保險費,費用,05C2910,TW-EXPENSE,0,,,
交際費,費用,05C2911,TW-EXPENSE,0,,,
稅捐,費用,05C2912,TW-EXPENSE,0,,,
折舊,費用,05C2913,TW-EXPENSE,0,,,
各項耗竭及攤提,費用,05C2914,TW-EXPENSE,0,,,
伙食費,費用,05C2915,TW-EXPENSE,0,,,
職工福利,費用,05C2916,TW-EXPENSE,0,,,
權利金,費用,05C2917,TW-EXPENSE,0,,,
勞務費,費用,05C2918,TW-EXPENSE,0,,,
訓練費,費用,05C2919,TW-EXPENSE,0,,,
其他研究發展費用,費用,05C2920,TW-EXPENSE,0,,,
